Sr No,Reviewer Name,Date,Review
24,hblevin,20-Nov,"The current ownership has raised the bar extremely high as to both food quality and service! During the pandemic, they have graciously delivered the food to my car, something other eateries in Clinton and Annandale should more readily do! The onion rings are incredibly good. Cheesesteaks and eggplant parm are top notch and the rolls are outstanding! My wife enjoys building her own burger and enjoys both their beef and turkey patties. This is a not to miss establishment in Clinton!l In fact, we hope to order lunch their today!!"
25,Zach Kolas,20-Nov,"I’m not saying you have to come for a well cooked, awesome tasting burger but I’m saying you should. I’ve also had some good Mac & cheese bites but these ones will blow you away! If I could give a 12 star rating I totally would!"
26,Alyssa B,20-Nov,over priced mediocre burger..waste of money. cheese over $1 more to add to your burger.also flies were roaming around inside the restaurant. after reading other reviews i see this was an issue before and they haven’t bothered to fix it
27,Wayne M.,20-Oct,"Tried for the first time. Burgers were ample size and fries and onion rings were excellent. No soda fountain but a fridge case with a variety of bottles. The cashier/ order taker came out to clean tables and didn't check on us to see how we were doing. If she did, I would have told her about the horrendous gnat problem coming from the garbage/ recycling receptacles. I would go back, hoping the gnat problem was fixed."
28,Paul Ellison,20-Oct,Very good burger. Had the Clinton B’s burger which had a little kick (spicy) due to jalapeños. Was very tasty and well priced. Would try the place again. Sorry my photo isn’t the best.
29,Michael R.,20-Oct,Burgers and sandwiches are delicious. Sides were good as well. Good local spot for lunch. Order on line and pickup not a problem.
30,Nathan Slack,20-Sep,Love the variety of burgers. Can't wait for the dining room to reopen.
31,Jillana Surujmohan,20-Sep,"My boyfriend and I went in, places our order (Mediterranean Burger and California Burger, each with fries and a drink) and decided that we would sit outside. Upon setting our things down on the table outside, we noticed about three flies in the inside window buzzing around, and the tables were dirty. It was just disgusting. The waitress was dressed vulgar and the host who took our order had a horrible attitude. We got our food and ate in the car; the burgers were good."
32,Maria Ottati Nappi,20-Sep,Food cooked fresh and friendly service.
33,Umesh Bhatt,20-Sep,"I guess its fair to say, that you should order burgers from this place. nothing else. Just ordered a panini, which was a bunch of stuff cooked on a griddle, then loosely placed in between 2 halfs of a pita bread. Its edible, thats about it. The chicken was all dry and over cooked. I cook better at home than this."
34,Gene F.,20-Sep,Great burger! And it was huge!!! Had burger with chorizo. Spent last 16 years in SoCal so I know the taste of good chorizo. This burger was great. Also ordered fries - hot and tasty. Highly recommend and will definitely be back!!
35,Philip Drake,20-Aug,"They have Excellent Quality burger meat and food selections for your hankering for a Great Burger, or other choice of food!"
36,Colette G.,20-Jul,"Ok food, poor customer service, no working restroom (occurring problem if you read other reviews) I would find somewhere else to spend your money. It's ok. Everything was fresh & hot when we got it. Nothing to brag about.Walked in for first time, nobody at counter. Do it yourself dirty touchscreen in Covid conditions is poor choice. Waited for young man to come to counter. He said nothing. Just stared at us. No greeting of any kind at all. We are not local. Maybe for locals by comparison this is good burger place. It is not.I had build your own burger. Ingredients not fresh. Canned slice of pineapple. Bacon clearly cooked much earlier in day. Very skimpy on Hawaiian sauce. The chicken was tender, so that's something. Fries are really good. My kids had chicken fingers. They were happy. Only reason I give 3 stars and not 2, it was fast. But the same pleasant young man who didn't greet us, literally walked out to hand us bag of food, once again said NOTHING. Rude."
37,A S.,20-Jul,"Just ordered dinner via door dash. Sweet potato fries ($5.00!) were undercooked soggy and cold. Burgers weren't very tasty. I thought that a place with burger In Their name would have outstanding burgers. Very bland and my fries and onion rings tasted like disappointment. Always trying to eat at the local places, especially now, but they didn't impress me."
38,LM W.,20-Jul,"For a place that specializes in burgers it was really mediocre. The bun was stale and too big for the size of the burger, they messed up the burger with the wrong cheese, and the meat was only ok. I ordered the regular french fries and got fries that had some kind of cajun seasoning on them. Milkshake was pretty good, but that's about the only good thing I can say."
39,Stephen Lee (ST3PH3NL33T),20-Jul,We just moved here from Saint Louis and we happened to pass by this place on the way to our hotel and decided to grab a bit to eat.The food was great and we were able to speak to the kind owner who explained everything we had questions on.We will be living fairly close to this place so we will be returning.
40,dakotagolt,20-Jun,"Delicious, well cooked hot dogs, with somecof the best cajun fries I've had. Delicious milk shake to drink. Well handled menu for burger listings, and great customer service. Tons of outdoor seating with a view of the river out back."
41,Luisa Hernandez,20-Jun,So good! And the portions are very generous. I'd definitely visit again.
42,Michele C.,20-Apr,"We finally ordered from here because we heard great reviews. We are supporting small businesses during this difficult time. We ordered a well done Clinton""B's"" burger along with other items. The burger was cold and extremely rare. Did not go back because we hardly go out to public places. The rest was ok."
43,Sally M.,20-Apr,"EXCELLENT! Tasty burgers (1 beef & 1 lamb) perfectly cooked as ordered, fantastic fries (not overly salted which we like). Great service."
44,Charlene Greene Lakata,20-Apr,"Great food! Generous portions and very affordable! We have tried chicken fingers, fries, and burgers! Online ordering and fast and easy pickup! A great addition to our wonderful town"
45,lliverboi,20-Apr,"good burger! nice service, though the self serve machine was not working the staff was very helpful"
46,Chad Lundeen,20-Mar,"This is one of my favorite places in the area to get a burger. The burgers are delicious, all of the ingredients taste like they are high quality. I'm a fan of anything with bacon on it, and I love the bacon they use, it's cooked perfectly to a give it a nice crisp. Also, the thick cut french fries are amazing. Staff is very friendly. Overall I've never had a bad experience here, and always look forward to going."
47,Brenda P.,20-Mar,Been here a few times and it's good but nothing really fantastic that makes me want to come back. Good but pretty average.
48,John Myers,20-Mar,"This spot is great! Fair prices, considerable portions and the staff are constantly very nice."
49,John Steed,20-Feb,"I'm not sure why this place has such good reviews, the place is average at best! First of all the guy is very rude. If you ask a question, he walks away from you and does not come back! The table I was sitting at was very sticky. I put napkins down to cover the sticky stuff and the napkins became glued to the table! The food prices are expensive! $8 hamburger and $5 for a small size powdered milk shake! The bathroom was out of order. No catch-up bottles on the table and we ran out of napkins. Whenever a customer opens the door, freezing cold air cools down the small eating area. Parking is on the street or in the cominled lot behind the building. Next time I'll pass on this place and go to McDonald's!"
50,Michael Colclough,20-Feb,"I arrive at this outstanding restaurant once a month since I like the good air that is outline this place. The personel is highly helpful and qualified. The service is awfully rapid. Also, the food they cook is first-rate. I came many times and I was always pleased. The rate is fair. I recommend this place to all my friends."
51,Morgan2010,20-Jan,I had the lamb burger served on a large kaiser roll with lettuce and sauteed onions. Cant get lamb very many places. It was very good. For $7 it was even better.
52,Vet M.,20-Jan,"Really good burger, would definitely recommend."
53,Jon P.,20-Jan,"Honestly, this place has a great burger and are fast. I call for a burger and sometimes it's ready within 10 minutes."
54,Ashish Garg,20-Jan,Very professional and clean. Loved the Mediterranean burger!
55,Angela Carlucci,20-Jan,I had my daughter’s first birthday here last year and he owner was more than accommodating. Great price and so many delicious options. He even let us decorate and play our own music.
56,Vee Cee,20-Jan,"First time visiting Burger Co. long wait for the burgers, but as they say good food takes time, eh. Ordered off the daily special board. Got the Bacon Co special with American cheese, and bacon cheese fries and a soda (actually got an ice tea)b Asked for rare got medium, and a little dry.and cheese fries were a little too salt and ( and although this may be a petty item) while there was plenty of bacon, the bits were too large should have been broken up a little more. Girlfriend got the Philly cheese steak. (No mushrooms thank you) and sweet potato fries(+$1.) and a Stewart's Root Beer. She loved the cheesesteak ( she wished there was more juice) as for my Opinion with my bacon burger not so thrilled. But I will probably give it another try, cause I'm interested in the lamb burger, and if I get another burger I will stress rare like blood, rare just knock the horns off grind it up, and give it a passing Acquaintance with the grill, just enough to warm it up and throw it on a bun. Rare, not medium rare, definitely not medium. Rare. So anyway for a eleven dollar Hamburger I found it lacking that certain something that Je ne sais quoi. Like an epic burger. It missed the mark. Close but that only counts with claymores."
58,Nicholas Petrillo,20-Jan,"Delicious! A great selection of burgers and sides, as well as a build your own. It is a BYO place if you want a “cold one” to go with your burger. We enjoyed playing the games while waiting for our food (which wasn’t a long time)."
59,Tee G.,20-Jan,"Philly Cheese burgers and wings were great! Food was hot, fresh and flavorful. Onion rings had too much batter but the rest of the food was great. We will definitely eat here again if we are in the area again."
60,Lynn Gresko,19-Dec,Sooo many choices of burgers! I had the lamb burger with feta which I've never had before. It was cooked to order and delicious. Service is very friendly.
61,Lou C.,19-Dec,"Honestly, I didn't have high hopes. I stumbled across the place and I went in at an off time, and there was only 1 person in the place. There is no table service -- you order at a kiosk at the window (it was not working so someone took my order). Ordered a regular cheeseburger. Oh. My. Goodness. One of the best burgers I've had in years. For those familiar with Krug's Tavern, these are just as good but less greasy. Fresh beef, nice soft bun, and it was incredible. There are lots of roll/bread options from which to choose, as well as various protein options if you want something other than beef. This is definitely going to become a regular for me!"
62,Chetan D.,19-Dec,Hands down the best burger in the area. Had an awesome time enjoying at this cute vibe place. Will definitely recommend trying their burger combo.
63,Harold Levin,19-Dec,"Eggplant parm, fires, onion rings, all burgers cooked to order at very fair prices"
64,jwhaightiii,19-Dec,"We stopped after a stroll through the town. Service was good and they have Lamb burgers, which I chose with Saracha sauce. They also have Salmon burgers and more."
65,Nataly P.,19-Nov,"Amazing burgers! The meat tastes fresh, the bun bread is soft and flavor. If you're looking for a classic American burger of top quality this is the place to go. I had the texan burger and was well balanced in flavor. Definitely one of the best burgers I've had in a long time. The fries were also very good. Crispy and not overly seasoned. It's a bigger burger than the average size so to curb your burger craving head here!"
66,Rich G.,19-Nov,"Okay, so we were in the attractive town of Clinton and hungry... Aimed at Cracker Barrel we decided to take a look around. Upon seeing the exterior of this particular burger joint, we decided it might be the place to go. From there it was southbound. Service: oh you mean the dude glued to his cell phone. Meh... robot at best. Appearance: I can see some effort. There were a few items on the shelves that were interesting and even some even for customer's entertainment. Food: (by the way we got burgers at the place whose name boasted the product.) The burgers were not terrible, and there are good add-ons, but certainly nothing to recommend highly. Shake was not good. Price: way too expensive for the value. You are not 5 guys at all. Final: Might've been the right place... But it must've been the wrong time... try for yourself."
67,Virginia L,19-Nov,"went there to try the burgers,,,,,asked for medium rare,,,was well done.. the burger was mediocre at best....not much flavor...won;t be back,,,"
68,Kevin Sornoza,19-Nov,Good spot to play some board games with friends while you snack on some of their cajun fries and milkshakes.
69,Rajeev N.,19-Nov,Great meat ball sub; took a chance and loved it. Very crisp bread and juice meat. Nice joint overall.
70,CynthiaW500,19-Nov,"First time trying this place. Picked up and ate at home. Burgers, dogs and fries were delicious, good serving sizes, and prices. Definitely going back."
71,Gautam V.,19-Nov,Best burger in North Jersey. No comparison. Great variety of Burgers - veg and non-veg. Very friendly staff. Absolutely fantastic.
72,sljensen009,19-Oct,"Delicious burger with many topping options, as well as quality meat. Staff was extremely nice and excited to prepare excellent food to enjoy."
73,Rob H.,19-Oct,Went for the first time this past Friday and would not go back. There was garbage on the floor and trash can overflowing. My daughter went into use the bathroom the toilet was not working. Felt bad for the guy behind the counter as there was a line of people waiting to order and he was also charged with running out the food. A management mess. On top of it all the burgers and fries were very average. Was excited to try this place out but was disappointed.
74,Will Kaufman,19-Oct,"BEST BURGERS, Great taste"
75,marlene leuenberger,19-Sep,Great selection of yummy burgers. You can go with signature recipes or customize your own. Fast friendly service and good prices. I had the bacon cheeseburger combo which comes with bacon cheese fries and a soda for $10. Highly recommend. Can't wait to go back and bring my husband.
76,Tyde Turner,19-Sep,Good place. Good food. Fast service. Much better than Big Kahuna Burger.
77,Carolyn M.,19-Sep,"Been back a few times and really like this place! Fresh, great tasting burgers, yummy shakes and really friendly service. The games are a fun addition if you want to extend your night a bit too. Checked out the new burger place in Clinton and think it's a great addition to the area. Reasonably priced, appropriate wait time for cook to order food, generous portions and both the burgers and the cheesesteak were great...I was perfect for a quick dinner."
78,Matthew Hamilton,19-Aug,"Big burgers, great staff, and best fries in town. Definitely recommend."
79,Ali G.,19-Aug,"Not good, but not bad. It's pretty mediocre. However, it could just be because I ordered the veggie burger. It was all tasteless, but $9 for a burger, fries, and drink is a good deal for the area. It just all desperately needs seasoning. Even the fries need salt. However, what bothered me most was that all of the tables and napkin holders felt like they were covered in grease. Worse, the owner was trying too hard to get business. After thoroughly explaining the menu to me, he then proceeded to approach me multiple times while eating to check in and at one point approach every table to hand out menus to take to go and again explain the different types of burgers. Checking in once is fine, but to repeatedly approach every table to try to sell your food is just weird and annoying--especially when we've clearly already bought something."
80,Scott Hopkins,19-Aug,Awesome atmosphere Plus the food is just awesome! I haven't had a bad meal there yet! Definitely five-star place. :-)
81,Egg boi,19-Jul,"good burger! nice service, though the self serve machine was not working the staff was very helpful"
82,Stephen Lee,19-Jul,We just moved here from Saint Louis and we happened to pass by this place on the way to our hotel and decided to grab a bit to eat.
83,Dillon Phillips,19-Jul,"Clean, friendly, and great food! Chicken tenders, Burgers, hotdogs, milkshake, and fries were very well made! If we are ever driving back through New Jersey, we will stop here again!!"
84,N G.,19-Jul,Surprisingly tasty burger! Thick and juicy. Convenient location and pretty quick service. Can't believe this place is in Clinton. So many disappointments but this ain't one of em.
85,jetfan67,19-Jun,The food is fresh and flavorful. It came out quickly. It is always made to order. The prices are very reasonable. They also had soft music playing. Very relaxing. We enjoy going there. Something for everyone.
86,Derrick Carpenter,19-Jun,"Burgers are a thing of beauty. Clinton Burger Co. Cooks them to order and builds them to your specifications. You can even add to the specialty burgers. Add a side of ample fries or onion rings, made with red onions and you have quite possibly made one of the best burger experience decisions ever"
87,Nicole Ellis,19-Jun,"Great little spot! I like that they have a takeout stand and it's a casual spot for a quick burger and fries. I wish they did a better job about looking open, as I've driven by so many times and it looked closed."
88,Derrick C.,19-Jun,"I had the Texas burger, rare. Love that you can order the way you like it and it was rare, juicy and full of flavor.My friend had the clinton burger, also rare and his was a LITTLE overcooked, but by much. He said B+, had it been rare A for sure."
89,sjh49,19-Jun,"Went for lunch and ordered burger with blue cheese and mushrooms, fries, and ablack & white shake. Sounded like it should be good. Cashier asked how I wanted the burger cooked, which was a good sign. I said medium rare and the girl at the register repeated it. She said she would bring the burger to me outside when it was ready. Took less than 10 minutes to get burger but it was overcooked and very dry - opposite of medium rare. The fries were very crispy but greasy. The milkshake was a vanilla shake with chocolate syrup poured in and not fully blended so it tasted like vanilla shake except when the chocolate syrup came up through the straw! The waiter did not give me napkins so I had to go back in to get napkins. For $15.00, should be much better."
90,Pratiti S.,19-May,Good & tasty food. The place is well maintained too! This place is worth trying if you are in Clinton. Go in with a good appetite and they wont disappoint you.
91,Andrew Hong,19-May,"I was hesitant to try this place being the stubborn boyfriend, after my girlfriend had suggested it on our trip to Jersey."
92,jetfan67 .,19-May,The food is fresh and flavorful. It came out quickly. It is always made to order. The prices are very reasonable. They also had soft music playing. Very relaxing. We enjoy going there. Something for everyone.
93,BriCLK,19-May,My first experience at CBC was terrific. I can honestly say I had one of the best burgers I've had in a long time. And I do enjoy the occasional burger. The burger was cooked to perfection with plenty of flavor. Awesome fries!
94,May Mastapeter,19-May,Sadly after eating here a couple of times I will not be returning. I have ordered a turkey burger several times. Well today I get my burger and it is beef. I kindly go back in to tell them of the mistake and they insist the patty is beef. I think a 5 year old can tell the difference between a turkey patty and a beef patty. What happen to customer is right and making a new burger? Very sad too because the other times their TURKEY burger was good. 5 thumbs down.
95,Nicole S,19-May,"Fast service, great food! Went here on a Saturday when they were super busy. I had my food within 10 minutes. The man who waited on us was extremely polite and helpful! He even walked around to every table to make sure the orders were correct and that we were enjoying our food."
96,Todd Osmun,19-May,"These burgers are amazing. They taste just like my grandfather used to make. The buns are so delicious and everything is made fresh to order. This place is a great addition to Clinton. I get a different burger each time I go but my favorite is the Deluxe burger or the Bacon burger... Onion rings here are yummy. What a gem. The tables here could use cleaning more often but I see they only have a few staff members that are always friendly and working hard, especially the young lady with glasses at the register... These are the most juicy and tasty burgers in Clinton... If you don't believe me go see for yourself..."
97,Dee-Dee Moens,19-May,"Burgers were dry, I like greasy burgers. Portions were large and fries were fresh. The waiter was very nice. This is a nice family/kid friendly eat-in restaurant. I give 4 ðŸŒŸ because they stand up to their name. I was given 2 coupons for free burgers in the mail. Usually free is for fries or a drink. This is a Burger restaurant and they made sure customers tried the quality of the product."
98,Charlie R.,19-May,"Mixed bag. The good: the burger was great! Good texture, cooked to spec and super juicy. Fries were generously portioned. Board games available. The bad: milkshake was bizarre - possibly chocolate milk blended with ice? Watery and big ice chunks. Ambiance is so-so. No music and hard walls means conversations can be heard throughout (I can hear the people on the other side, the chef can hear me, etc.) I think we will order out next time if we come again :)"
99,Ray M.,19-May,"Mixed bag. The good: the burger was great! Good texture, cooked to spec and super juicy. Fries were generously portioned. Board games available. The bad: milkshake was bizarre - possibly chocolate milk blended with ice? Watery and big ice chunks. Ambiance is so-so. No music and hard walls means conversations can be heard throughout (I can hear the people on the other side, the chef can hear me, etc.) I think we will order out next time if we come again :)"
100,Bob M.,19-May,The new ownership has put a fresh spin on the venue. The burgers are cooked perfectly to order. The staff is friendly and the restaurant is clean. Worth the trip.
101,Dev H.,19-May,"Excellent food, quick service, large portions and fairly priced! I Wbe a regular here!"
102,Martin Altemose,19-Apr,best place in town to grab some fresh made to order burgers. it's my go to when working in the area. skip the Mickey D's and hit this place up. You won't be disappointed
103,Elizabeth S.,19-Apr,"Tried this place tonight and it was excellent. The burgers were very good at a great price. We also got sweet potato fries, which were enough for 2 people and very good. Service was fast and friendly The owner was very friendly and visited each table while we were here. Definitely recommended giving Clinton Burger Company a try!"
104,Bill DeHaas,19-Apr,burgers are awesome highly recommend a visit
105,Cynthia D.,19-Apr,"Cute and quaint looking from the outside. The inside is basic. It's BYOB, which is cool if you're wanting to have some beer with your burger. We sat at one of the 2 bistro tables outside. You can build your own burger: bread, patty, toppings, condiments. I like the variety of burgers: plant based, salmon, poultry, and beef. The veggie burger was good. I got it with lettuce, tomato , red onion, pickles + mayo and sriracha sauce. The French fries were crispy and delicious. Overall, it's a solid spot. I'd go back."
106,Bill L,19-Apr,"I think this place is a great addition to downtown Clinton. The new owners have kept the original menu and have expanded it and there is great food at very reasonable prices. Some of my personal recommendations would include the italian sandwiches (eggplant is excellent) , the Chili (or chili dogs) and of course the burgers. I had the Mexican Red a few weeks ago, which has a meat blend of beef and chorizo. Very delicious."
107,EpicSixPrime,19-Apr,"Juicy flavourful burgers, fries were crispy and tasted great! Super convenient self order station, the owner was extremely welcoming and very helpful. Low priced and high quality. Strongly recommend!!!"
108,Sandeep W.,19-Apr,"Best burgers in town! Visited this place with a bunch of friends and was very happy with it. We started with some beef chilli (very flavorful), and jalapeno poppers which were great. Next were the texan burger (not too spicy, crispy with bacon and onion rings) and Mexican burger (bit of punch with jalapenos!).. Cozy place with a great ambience and friendly staff..dont forget to top it off with some strawberry / chocolate milkshake.."
109,Teri H.,19-Apr,"We ordered two chicken paninis and sides. So the ingredients inside are pretty good but they use a super thin panini ""bread"" that's more like a thin pita. The ""bread"" was my not even warm and the moz that should have been in the sandwich, looked liked a tiny bit fall inside my mistake. The bottom ""bread"" was completely soggy. The fries have a light coating and taste ok but cut too thick for my liking. Cheese fries are ok, they use a cheese whiz of some kind, I don't like cheese whiz. The best thing I had was the onion rings, a corn meal blend coating. One star because we got chicken and vegetables, not a grilled chicken panini with cheese. Won't be eating here again."
110,Kurt Kirkham,19-Mar,Good place for a burger and fries.
111,David Dorsey,19-Mar,Best smash burgers in the area. Reasonably priced! Fries and onion rings are perfectly crispy and tasty! Meat cooked as ordered. If you try it once you will be back!
112,Adnan Rangila,19-Mar,Awesome Burger and Fries. Worth the visit again and again
113,Kathy B.,19-Feb,I was surprised to read negative reviews. I have twice ordered from the Clinton Burger Company and both times was very pleased. The price was reasonable and lower than if I went to MacDonald's. The California Cheeseburger was delicious. I liked the fries and onion rings that came with the burger. The service was very friendly and professional. I will definitely go back.
114,Alvin Potthoff,19-Jan,"If you are ever in Clinton stop by Burger Company. Their burgers were great and beat out 5 guys as my local burger place. Definitely try the onion rings, they were crunchy and went great with the California burger."
115,Howie A.,18-Dec,This place changed hands for the 3rd time. I had the overpriced hamburger and it was too thick and tasteless. The coleslaw that came with it had a strange taste and threw it out. When it was Johnny's I preferred their burger better. I can't comment on their other foods on the menu but I was not a fan of the price and the burger.
116,Suzanne W.,18-Dec,My husband and I grabbed a quick bite after a hike. Truly delicious food. My husband had a cheeseburger and helped me finish my sausage and pepper sandwich which was HUGE and very tasty. We will definitely be back. Great little place.
117,John D.,18-Jun,"Wife ordered a black bean burger, which are definitely grocery store frozen, not fresh. Cheap buns, my mushroom burger crumbled to pieces in my hands as soon as I picked it up. Definitely not worth the price."
118,Rich Komissar Sr.,18-Jun,Fun little Hamburger Joint with lots of other fresh made options. Fresh Ground Burgers for sure. Real Potato Fries. Super Shakes. We are heading back next week for the Italian Hot Dogs and Sausage and Peppers becuse they looked amazing when the server brought them over to the next table from ours.
119,Joshua P,18-May,"Good food, priced well. Good environment."
120,David Abate,18-May,"Had the black bean burger and it was awesome. Good size, great flavor. Lots of options on the menu. Looking forward to trying the meatballs and sausage and peppers."
121,Alice Digiambattista,18-May,"Burgers are fantastic....and if you are in the mood for some Italian, just ask Johnny to whip something up for you. He's very accommodating."
122,Peter C,18-May,"Stopped in for lunch. Burger, onion rings, eggplant parmigiana sandwich, and grilled chicken salad were all excellent. Service was prompt and friendly. We will definitely return next time we are in Clinton."
123,Susie T.,18-Apr,"My first experience at Johnny's Place was actually at the 2017 Clinton Fire Chili Cook off! It was also the restaurant I wound up voting for AND they even won! Recently, we decided to stop in and try the full menu. My kids and I shared a couple of cheeseburgers with a large order of fries, while my husband opted for the sausage and peppers. The burgers were super juicy and cooked just the way I like them. The fries were probably the highlight for me - they were seasoned with a unique mix and fried up to perfection. The restaurant itself is very casual and the owner was very friendly. I would definitely come back again!"
124,joe sagliani,18-Apr,"This place makes delicious tasting burgers its simple. The service is always fast as I do frequent the place enough to know. Its got a great grove for any age crowd and you can sit outside also, front or back. The fries are chunky and crispy good. The onion rings have onions in them!! He offers burger specials and a nice selection of Italian specials also. Eggplant, sausage and peppers and Italian hot dogs. My burger was the Italiano special that had beautiful tasting portabella mushrooms, red peppers and cheese. Really a good combination and just enough. Or just get a thick shake. C'mon already, get over there or I'm taking your seat."
125,McKayla Z.,17-Dec,The burgers and fries are amazing! The food always comes out quickly never a long wait. By far my favorite place to grab a burger in clinton.
126,Jeniffer S.,17-Oct,"Mouth watering burgers, the service by Danielle and chef Johnny was superb! Extremely accommodating and friendly. The place is very cozy and well kept, enjoyed the chocolate milkshake and turkey burger. Fries were perfectly crispy, the place is very local not too far from rt 22, this is a gem in Clinton! If you want a mouth watering burger you must visit Johnny's Place. They have seafood Wednesday's as well, seems to be very popular amongst some of the locals. If you are in the area craving a burger stop and have a shake, burger and fries you will not regret it :)"
127,David L.,17-Sep,"First time here. Came here after vending at a local event with my gf. Short of no description of what a Scotty G's burger is on the menu; all was great! We had juicy delicious cheeseburgers with crispy, yet full of potato fries! Yummy!!! Plenty of choices for drinks. Very cool little throwback joint."
128,Nancy M.,17-Sep,"We love this restaurant, and can walk there from our house. Last night we had the student special, which includes either a hamburger or cheeseburger, an ample supply of absolutely delicious fries, and a can of soda for $7. They also serve fantastic shakes, and various types of hamburgers, hot dogs, and other meats. You can eat inside or out on the patio. The food is ready quickly, and tastes awesome."
129,Master C.,17-Jul,"Ordered a hamburger and fries, was meh. The owner is rude, and the service was non-existent. Kinda hard to mess up a burger and fries."
